starting run...

=== quality target = 0.99 ===
[ 29/ 61] FILE_airplane.bmp              | k=   1 | achieved=95.00% | CR=63.9376 | PSNR= 15.79 | time=0.0843s
[ 30/ 61] FILE_airplaneU2.bmp            | k=   5 | achieved=91.11% | CR=25.5875 | PSNR= 26.30 | time=0.3914s
[ 31/ 61] FILE_blobs.bmp                 | k=  33 | achieved=90.14% | CR=0.9640 | PSNR= 37.40 | time=0.0176s
[ 32/ 61] FILE_boats.bmp                 | k=   1 | achieved=93.98% | CR=79.9383 | PSNR= 18.08 | time=0.0903s
[ 33/ 61] FILE_brickwall.bmp             | k=   1 | achieved=95.43% | CR=127.9375 | PSNR= 20.85 | time=0.3559s
[ 34/ 61] FILE_cablecar.bmp              | k=   1 | achieved=92.25% | CR=61.8731 | PSNR= 16.07 | time=0.0655s
[ 35/ 61] FILE_cameraman.bmp             | k=   1 | achieved=91.40% | CR=31.9376 | PSNR= 13.66 | time=0.0164s
[ 36/ 61] FILE_carpet.bmp                | k=   3 | achieved=92.37% | CR=42.6458 | PSNR= 17.53 | time=0.3693s
[ 37/ 61] FILE_cellcolony.bmp            | k=   1 | achieved=98.73% | CR=50.8123 | PSNR= 20.66 | time=0.0477s
[ 38/ 61] FILE_clown.bmp                 | k=   4 | achieved=90.85% | CR=15.9844 | PSNR= 19.20 | time=0.0951s
[ 39/ 61] FILE_cornfield.bmp             | k=   1 | achieved=90.44% | CR=61.8731 | PSNR= 16.79 | time=0.0821s
[ 40/ 61] FILE_couple.bmp                | k=   1 | achieved=91.65% | CR=63.9376 | PSNR= 16.72 | time=0.0988s
[ 41/ 61] FILE_crowd.bmp                 | k=   7 | achieved=90.75% | CR=9.1339 | PSNR= 18.60 | time=0.0878s
[ 42/ 61] FILE_fruits.bmp                | k=   2 | achieved=94.29% | CR=30.9366 | PSNR= 20.61 | time=0.0667s
[ 43/ 61] FILE_girl.bmp                  | k=   1 | achieved=93.91% | CR=79.9383 | PSNR= 17.30 | time=0.0948s
[ 44/ 61] FILE_girlface.bmp              | k=   4 | achieved=92.31% | CR=15.9844 | PSNR= 19.47 | time=0.0821s
[ 45/ 61] FILE_goldhill.bmp              | k=   1 | achieved=93.30% | CR=79.9383 | PSNR= 18.76 | time=0.1028s
[ 46/ 61] FILE_houses.bmp                | k=   4 | achieved=90.70% | CR=15.9844 | PSNR= 15.35 | time=0.0801s
[ 47/ 61] FILE_kiel.bmp                  | k=   1 | achieved=94.54% | CR=63.9376 | PSNR= 17.97 | time=0.0871s
[ 48/ 61] FILE_lighthouse.bmp            | k=   1 | achieved=90.84% | CR=63.9376 | PSNR= 16.42 | time=0.0781s
[ 49/ 61] FILE_man.bmp                   | k=   6 | achieved=90.94% | CR=21.3229 | PSNR= 18.06 | time=0.3677s
[ 50/ 61] FILE_monarch.bmp               | k=   2 | achieved=90.44% | CR=38.3700 | PSNR= 17.20 | time=0.1124s
[ 51/ 61] FILE_pens.bmp                  | k=   7 | achieved=91.54% | CR=8.8390 | PSNR= 18.16 | time=0.0663s
[ 52/ 61] FILE_sailboat.bmp              | k=   1 | achieved=90.31% | CR=63.9376 | PSNR= 15.26 | time=0.0824s
[ 53/ 61] FILE_soccer.bmp                | k=   5 | achieved=90.06% | CR=12.3746 | PSNR= 17.60 | time=0.0635s
[ 54/ 61] FILE_tank.bmp                  | k=   1 | achieved=97.43% | CR=63.9376 | PSNR= 21.41 | time=0.0853s
